Date,Open,High,Low,Close,Volume
10/17/2024,"167.38","167.93","164.37","164.51","15,113,360"
10/16/2024,"166.03","167.28","165.22","166.74","9,968,474"
10/15/2024,"167.14","169.09","166.05","166.90","14,829,340"
10/14/2024,"164.91","167.62","164.78","166.35","9,981,765"
10/11/2024,"163.33","165.27","162.50","164.52","10,945,970"
10/10/2024,"162.11","164.31","161.64","163.18","12,900,490"
10/09/2024,"164.86","166.26","161.12","163.06","19,666,410"
10/08/2024,"165.43","166.10","164.31","165.70","11,723,890"
10/07/2024,"169.14","169.90","164.13","164.39","14,034,720"
10/04/2024,"169.34","169.55","166.96","168.56","11,435,320"
10/03/2024,"165.82","167.91","165.37","167.21","11,004,330"
10/02/2024,"167.76","168.88","166.25","167.31","12,744,980"
10/01/2024,"168.86","170.44","165.90","168.42","18,629,510"
09/30/2024,"164.78","167.36","164.64","167.19","14,083,450"
09/27/2024,"163.91","166.97","163.83","165.29","13,604,260"
09/26/2024,"165.03","165.50","163.50","163.83","18,234,500"
09/25/2024,"162.97","164.22","162.78","162.99","13,607,890"
09/24/2024,"164.25","164.55","162.03","163.64","18,774,061"
09/23/2024,"165.34","166.61","162.95","163.07","15,648,450"
09/20/2024,"164.52","164.75","163.18","164.64","46,362,672"
09/19/2024,"164.82","164.99","162.52","163.24","17,548,189"
09/18/2024,"160.85","161.63","159.66","160.81","16,756,449"
09/17/2024,"160.09","161.59","159.41","160.28","12,064,790"
09/16/2024,"158.33","159.24","157.61","158.99","14,157,610"
09/13/2024,"156.36","159.28","156.11","158.37","16,733,910"
09/12/2024,"154.81","155.61","153.50","155.54","21,024,061"
09/11/2024,"151.09","152.48","148.70","152.15","18,991,490"
09/10/2024,"151.45","152.30","149.54","150.01","20,401,770"
09/09/2024,"153.63","154.64","148.20","149.54","28,057,750"
09/06/2024,"158.69","159.22","151.94","152.13","24,999,061"
09/05/2024,"157.78","161.02","157.52","158.60","14,139,500"
09/04/2024,"158.08","160.40","157.44","157.81","17,410,650"
09/03/2024,"163.32","163.38","157.86","158.61","26,514,700"
08/30/2024,"164.22","165.28","163.41","165.11","18,498,779"
08/29/2024,"166.06","167.63","161.98","163.40","17,133,830"
08/28/2024,"166.78","167.39","163.28","164.50","15,208,740"
08/27/2024,"167.61","168.25","166.16","166.38","13,718,160"
08/26/2024,"168.16","169.38","166.32","167.93","11,990,310"
08/23/2024,"166.55","167.95","165.66","167.43","14,281,620"
08/22/2024,"169.04","169.42","165.03","165.49","19,123,779"
08/21/2024,"166.99","168.64","166.57","167.63","15,269,550"
08/20/2024,"168.74","170.41","168.66","168.96","12,622,520"
08/19/2024,"167.00","168.47","166.09","168.40","13,100,760"
08/16/2024,"163.41","166.95","163.08","164.74","16,853,141"
08/15/2024,"162.21","163.52","161.49","163.17","18,392,449"
08/14/2024,"164.21","164.96","159.53","162.03","22,515,900"
08/13/2024,"165.19","166.54","164.77","165.93","12,717,630"
08/12/2024,"166.00","166.70","163.55","163.95","12,434,970"
08/09/2024,"161.65","165.52","160.93","165.39","13,549,230"
